model,event_trading_date,n,mae,rmse,mean_y_true,mean_y_pred
Rolling Volatility,2025-10-27,78,0.009201001374924687,0.010878360197751045,0.019912064278450485,0.021486799151282054
Rolling Volatility,2025-10-28,125,0.009739802261519806,0.011138403918555962,0.028391784910112575,0.024883180756800006
Rolling Volatility,2025-10-29,102,0.006325431720243811,0.008083811612810942,0.029484848592284212,0.027440499980392153
Rolling Volatility,2025-10-30,182,0.008846059973478013,0.01106102501717981,0.023661890883346623,0.025084392093406595
Rolling Volatility,2025-10-31,99,0.007490162150625907,0.009612554378771879,0.02492793248684112,0.02449315258888889
Rolling Volatility,2025-11-03,61,0.006814072315751396,0.007879729559389724,0.026701006778805915,0.027369270942622956
Rolling Volatility,2025-11-04,64,0.00920341666654509,0.010562726911585281,0.018412030396575522,0.024812247843750003
Rolling Volatility,2025-11-05,40,0.007746255665930765,0.009542027376793914,0.020668999373447093,0.024124056435000003
Rolling Volatility,2025-11-06,41,0.0056850599438354795,0.00678321768929273,0.02061274661341814,0.024727176707317073
Rolling Volatility,2025-11-07,41,0.01003440660993307,0.011511117966061945,0.017763100893849946,0.024636039048780492
Rolling Volatility,2025-11-10,57,0.010933132004511813,0.013118047319907797,0.017659802218539626,0.02571184831578947
